enterprise_id,enterprise_type,fiscal_quarter,revenue_inr,raw_material_cost,energy_cost,logistics_cost,labour_cost,opex_total,capex,gst_input_credit,gst_output_tax,gst_refund_claimed,gst_refund_anomaly,export_incentive_claimed,bank_od_utilization_pct,related_party_txn_pct,is_shell_entity
UDYAM-TN-11-23-0356779,Micro,2022Q1,327763,124530,28553,29331,80770,263184,13284,39569,58997,39569,0,13789,47.9,1.5,0
UDYAM-TN-11-23-0356779,Micro,2022Q2,362111,141472,38526,18204,41136,239337,5662,36184,65180,36184,0,17821,48.1,1.5,0
UDYAM-TN-11-23-0356779,Micro,2022Q3,303874,119508,23965,21556,63600,228629,7579,34028,54697,34028,0,10014,52.1,1.5,0
UDYAM-TN-11-23-0356779,Micro,2022Q4,276730,109246,26359,20159,31736,187501,794,30835,49811,30835,0,5170,44.6,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q1,339738,114347,37354,33746,58964,244412,1392,38704,61153,38704,0,8844,64.7,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q2,369908,144455,28708,26284,67834,267282,8185,43817,66584,43817,0,16088,56.1,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q3,355225,124824,41355,33844,84722,284745,3123,48993,63941,48993,0,5945,53.2,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q4,220508,86470,14221,20368,39899,160958,3059,28093,39692,28093,0,3306,28.0,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q1,351650,108990,40727,29891,36275,215884,11272,38527,63297,38527,0,15582,43.4,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q2,389493,144869,44013,29666,85357,303904,19150,44690,70109,44690,0,10471,17.2,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q3,388971,138303,39507,25619,92886,296313,1324,53107,70015,53107,0,19354,91.8,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q4,311351,101926,16580,26580,73834,218920,543,37076,56043,37076,0,8965,14.9,1.5,0
UDYAM-TN-07-23-0291477,Micro,2022Q1,234935,112840,12981,15145,54907,195872,8977,34958,42288,34958,0,5906,67.2,5.3,0
UDYAM-TN-07-23-0291477,Micro,2022Q2,265673,110144,21599,13521,44954,190218,2632,32863,47821,32863,0,8399,53.6,5.3,0
UDYAM-TN-07-23-0291477,Micro,2022Q3,171033,67093,19592,11951,34266,132901,3548,19340,30786,19340,0,2952,36.7,5.3,0
UDYAM-TN-07-23-0291477,Micro,2022Q4,186714,68406,18630,18408,38204,143648,9071,22248,33609,22248,0,9128,68.5,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q1,199945,75129,14968,16083,41940,148120,9964,21953,35990,21953,0,3079,15.6,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q2,250102,82147,21650,24399,36213,164409,7772,28089,45018,28089,0,1181,77.3,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q3,232195,99297,11615,22279,51359,184550,5613,32187,41795,32187,0,962,92.2,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q4,162613,77863,11749,8648,36493,134753,1059,23535,29270,23535,0,4186,42.5,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q1,175407,65812,11439,13460,25575,116287,5331,20020,31573,20020,0,1205,46.2,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q2,298535,108350,22322,17651,52095,200419,5320,28913,53736,28913,0,13479,54.7,5.3,0
